,Parametro,Prob,
10,PEDREGAL DE SANTA URSULA,0.003714408,
50,NONOALCO TLATELOLCO,0.003691515,
430,MOCTEZUMA 2A SECCION,0.003657176,
269,TACUBA,0.003445414,
42,TACUBAYA,0.003342395,
43,UNIDAD VICENTE GUERRERO,0.003302332,
175,SAN RAFAEL,0.003290886,
35,ESCANDON I SECCION,0.003205036,
343,JUAN ESCUTIA,0.00319359,
30,LEYES DE REFORMA 3A SECCION,0.003136357,
124,TABACALERA,0.003124911,
268,HEROES DE PADIERNA,0.003084848,
125,SAN MIGUEL,0.003079124,
378,JARDINES DEL PEDREGAL,0.002867363,
345,SAN MIGUEL TEOTONGO,0.002833023,
25,XALPA,0.002781514,
498,AMPLIACION CASAS ALEMÃN,0.002707111,
574,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,0.002626985,
166,SANTA BÃRBARA,0.002615539,
408,PERALVILLO,0.002598369,
271,ERMITA ZARAGOZA,0.002569752,
386,SANTA MARTHA ACATITLA,0.002569752,
192,LOMAS DE CHAPULTEPEC I SECCION,0.002558306,
616,SAN MIGUEL TOPILEJO,0.00252969,
26,GRANADA,0.002483903,
194,SAN MIGUEL CHAPULTEPEC,0.00247818,
71,LOMAS DE SAN LORENZO,0.00247818,
40,SAN ANGEL,0.002472457,
23,PIEDAD NARVARTE,0.002472457,
392,UNIDAD EJERCITO CONSTITUCIONALISTA,0.002466733,
62,GABRIEL RAMOS MILLÃN SECCION BRAMADERO,0.00246101,
135,VALLEJO,0.00246101,
12,PROVIDENCIA,0.00246101,
329,EJERCITO DE ORIENTE ZONA PENON,0.002415224,
86,ZEDEC SANTA FE,0.002375161,
482,TEPALCATES,0.002323651,
331,MAGDALENA DE LAS SALINAS,0.002289312,
528,LOS ÃNGELES,0.002260695,
161,TRANSITO,0.002243526,
41,2A. AMPLIACION SANTIAGO ACAHUALTEPEC,0.002214909,
179,SAN JOSE INSURGENTES,0.002214909,
150,SAN GREGORIO ATLAPULCO,0.002203463,
278,SANTA MARTHA ACATITLA SUR,0.002180569,
144,GUADALUPE TEPEYAC,0.002174846,
461,SANTA MARIA NONOALCO,0.0021634,
155,SAN PEDRO MÃRTIR,0.0021634,
174,POPOTLA,0.002157676,
277,INSURGENTES MIXCOAC,0.00214623,
242,TLALPAN CENTRO I,0.002134783,
300,SAN FRANCISCO CULHUACAN,0.00211189,
495,SAN JERONIMO LIDICE,0.002106167,
90,CAMPAMENTO 2 DE OCTUBRE,0.002106167,
141,TEPEYAC INSURGENTES,0.00209472,
433,SAN JUAN XALPA,0.002048934,
117,CENTRO DE AZCAPOTZALCO,0.002026041,
152,CONSTITUCION DE 1917,0.002026041,
409,CULHUACÃN CTM SECCION VII,0.002014594,
500,MIGUEL HIDALGO,0.002008871,
376,INDUSTRIAL,0.001997425,
217,NUEVA ATZACOALCO,0.001968808,
138,LOMAS DE SANTA FE,0.001945915,
566,SANTA MARTHA ACATITLA NORTE,0.001945915,
314,ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN,0.001923022,
186,NUEVA VALLEJO,0.001917299,
257,TORIELLO GUERRA,0.001911575,
570,NUEVA INDUSTRIAL VALLEJO,0.001894405,
542,CERRO DE LA ESTRELLA,0.001865789,
551,REFORMA POLITICA,0.001860066,
250,SAN LORENZO LA CEBADA,0.001860066,
295,CUAJIMALPA,0.001848619,
231,INFONAVIT IZTACALCO,0.001848619,
262,CAMPESTRE ARAGON,0.001842896,
15,CONDESA,0.001842896,
565,SANTA CRUZ ACALPIXCA - PUEBLO,0.001825726,
389,LOS REYES,0.001820003,
288,XOCO,0.001808556,
334,AMPLIACION GABRIEL RAMOS MILLÃN,0.001802833,
246,GENERAL IGNACIO ZARAGOZA,0.00179711,
222,EJERCITO DE AGUA PRIETA,0.00176277,
146,SAN JUAN DE ARAGON IV SECCION,0.001734154,
351,LOMAS DE PADIERNA,0.001734154,
443,CAMPESTRE CHURUBUSCO,0.00172843,
377,ATLAMPA,0.001722707,
633,SAN NICOLÃS TOTOLAPAN,0.001716984,
744,NATIVITAS,0.001711261,
656,PENSADOR MEXICANO,0.001711261,
114,EX-HIPODROMO DE PERALVILLO,0.001705537,
422,SAN SIMON TOLNAHUAC,0.001699814,
380,SANTIAGO TEPALCATLALPAN,0.001694091,
308,SANTA ISABEL TOLA,0.001688367,
875,SANTA ANITA,0.001659751,
406,CLAVERIA,0.001642581,
344,VALLE GOMEZ,0.001636858,
623,ANZURES,0.001619688,
499,JOSE LOPEZ PORTILLO,0.001619688,
396,SAN ANTONIO,0.001613965,
16,LETRÃN VALLE,0.001596795,
446,JUVENTINO ROSAS,0.001579625,
188,RESIDENCIAL ZACATENCO,0.001568179,
96,SAN BARTOLO AMEYALCO,0.001562455,
438,MODERNA,0.001556732,
